Width (m),Discharge (m3/s),D50 (m),Depth (m),
344.42,6611.98,0.00019,5.18,
146.30,339.80,0.00004,4.57,
152.40,849.51,0.00096,16.76,
320.04,1274.26,0.0003,20.12,
106.68,849.51,0.0008,3.96,
605.33,21237.63,0.00025,6.10,
274.32,16990.11,0.0016,3.81,
205.74,2123.76,0.00015,7.92,
178.31,1359.21,0.00015,7.32,
365.76,1982.18,0.00032,1.52,
975.36,30582.19,0.00018,3.05,
121.92,283.17,0.00205,2.59,
274.32,1727.33,0.005,5.18,
1402.08,7079.211648,0.00001,11.89,
31.00,55.00,0.00044,15.24,
625.00,16950.00,0.00031,6.40,
776.00,16300.00,0.00031,5.43,
515.00,1500.00,0.00045,3.96,
187.00,850.00,0.0003,10.97,
226.00,1133.00,0.00033,1.68,
186.00,850.00,0.00038,5.01,
12.00,13.00,0.00042,6.096,
21.20,50.20,0.0481,2.53,
8.90,7.40,0.0436,13.92,
17.50,17.00,0.0032,11.34,
27.50,66.30,0.0277,3.00,
35.70,33.70,0.0038,2.20,
5.40,4.00,0.00025,3.76,
23.70,31.10,0.0422,2.97,
29.60,46.50,0.0243,1.17,
29.40,28.30,0.0008,1.30,
17.50,9.43,0.00733,0.70,
26.50,40.80,0.0894,0.90,
20.79,27.47,0.027,1.60,
3.99,2.62,0.02394,0.80,
1.89,0.36,0.059,0.40,
2.04,0.35,0.048,0.70,
7.59,2.45,0.067,0.80,
10.09,7.87,0.04,0.60,
5.70,6.11,0.14,0.68,
8.35,8.18,0.11,1.10,
2.59,0.85,0.043,0.84,
4.30,2.30,0.017,0.40,
5.18,2.33,0.038,0.21,
1.01,0.16,0.038,0.18,
1.28,0.16,0.038,0.24,
0.52,0.0255,0.012,0.46,
13.20,26.99,0.018,0.70,
12.83,31.25,0.027,0.55,
6.07,5.95,0.044,0.27,
1.22,0.17,0.0087,0.34,
1.65,0.24,0.011,0.34,
1.31,0.23,0.013,0.15,
5.36,3.67,0.031,0.15,
5.33,2.97,0.04,0.09,
3.72,0.61,0.083,1.04,
6.07,3.77,0.066,1.19,
6.71,9.91,0.023,0.49,
2.47,0.30,0.039,0.12,
8.96,6.63,0.014,0.12,
5.36,2.46,0.031,0.18,
3.78,1.17,0.039,0.43,
7.41,7.81,0.027,0.40,
13.23,29.94,0.0084,0.21,
14.33,29.53,0.016,0.30,
11.37,17.34,0.041,0.40,
12.28,17.70,0.023,0.18,
2.93,0.95,0.033,0.49,
1.55,0.28,0.019,0.34,
2.65,0.28,0.074,0.27,
17.98,88.89,0.044,0.58,
11.22,9.08,0.052,1.16,
10.30,7.85,0.041,1.16,
11.25,8.88,0.05,0.79,
9.45,5.89,0.032,0.76,
7.92,4.50,0.042,0.21,
7.32,4.02,0.025,0.18,
3.20,1.15,0.1,0.15,
3.14,0.37,0.039,1.66,
1.20,0.0107,0.00045,0.46,
0.17,0.00036,0.00045,0.58,
0.15,0.00044,0.00045,0.58,
0.15,0.00043,0.00045,0.50,
0.15,0.00045,0.00045,0.56,
0.25,0.00352,0.00045,0.48,
0.25,0.00335,0.00045,0.34,
0.25,0.00402,0.00045,0.12,
0.25,0.00313,0.00045,0.04,
0.25,0.00361,0.00045,0.02,
0.50,0.00363,0.00045,0.02,
0.50,0.00308,0.00045,0.02,
0.17,0.00026,0.00045,0.02,
0.50,0.00346,0.00045,0.05,
0.50,0.00363,0.00045,0.05,
0.50,0.00363,0.00045,0.05,
0.50,0.00363,0.00045,0.05,
0.30,0.00363,0.00045,0.05,
0.30,0.00460,0.00045,0.03,
0.30,0.00394,0.00045,0.03,
0.30,0.00460,0.00045,0.02,
0.30,0.00363,0.00045,0.03,
0.30,0.00300,0.00045,0.03,
0.17,0.00031,0.00045,0.03,
0.30,0.00288,0.00045,0.03,
0.30,0.00329,0.00045,0.04,
0.30,0.00053,0.00045,0.04,
0.30,0.00065,0.00045,0.04,
0.30,0.00058,0.00045,0.04,
0.30,0.00060,0.00045,0.04,
0.30,0.00057,0.00045,0.04,
0.30,0.00054,0.00045,0.02,
0.30,0.00309,0.00045,0.04,
0.30,0.00292,0.00045,0.04,
1.00,0.0150,0.00045,0.01,
0.30,0.00273,0.00045,0.01,
