Width (m),Discharge (m3/s),,
0.45,0.00344,,
1.00,0.0171,,
0.45,0.00308,,
0.17,0.00083,,
0.17,0.00061,,
0.17,0.00077,,
0.17,0.00067,,
0.17,0.00065,,
0.17,0.00072,,
0.17,0.00067,,
0.40,0.00152,,
0.40,0.00147,,
1.00,0.0129,,
0.40,0.00126,,
0.40,0.00123,,
0.40,0.00143,,
0.40,0.00132,,
0.20,0.00104,,
0.20,0.00104,,
0.20,0.00114,,
0.20,0.00110,,
0.13,0.00064,,
0.13,0.00077,,
1.00,0.0150,,
0.13,0.00067,,
0.13,0.00070,,
0.13,0.00064,,
0.13,0.00067,,
0.20,0.00075,,
0.20,0.00075,,
0.20,0.00073,,
0.20,0.00073,,
0.20,0.00073,,
0.20,0.00075,,
1.00,0.0150,,
0.25,0.00091,,
0.25,0.00097,,
0.25,0.00091,,
0.25,0.00097,,
0.25,0.00105,,
0.10,0.00021,,
0.10,0.00020,,
0.10,0.00021,,
0.10,0.00020,,
1.12,0.0249,,
0.35,0.00189,,
1.12,0.0285,,
1.12,0.0269,,
1.83,0.0328,,
1.83,0.0306,,
1.83,0.0306,,
1.02,0.0112,,
1.02,0.0088,,
1.02,0.0103,,
1.02,0.0111,,
0.43,0.00324,,
0.35,0.00189,,
0.43,0.00341,,
0.43,0.00284,,
1.04,0.0311,,
1.04,0.0343,,
1.04,0.0286,,
1.49,0.0521,,
1.49,0.0491,,
1.49,0.0391,,
1.49,0.0429,,
2.39,0.19,,
1.20,0.0117,,
0.35,0.00216,,
2.39,0.18,,
2.39,0.18,,
1.68,0.13,,
1.68,0.14,,
2.29,0.16,,
2.29,0.16,,
2.29,0.15,,
2.54,0.0797,,
2.54,0.11,,
2.54,0.0948,,
0.35,0.00204,,
2.54,0.11,,
2.54,0.13,,
2.54,0.13,,
2.54,0.11,,
2.54,0.13,,
2.54,0.13,,
2.54,0.17,,
2.54,0.14,,
2.16,0.14,,
2.16,0.15,,
0.35,0.00206,,
2.16,0.11,,
2.16,0.14,,
0.89,0.0246,,
0.89,0.0241,,
0.89,0.0241,,
1.40,0.0644,,
1.40,0.0777,,
1.40,0.0727,,
2.41,0.13,,
2.41,0.13,,
0.35,0.00210,,
2.41,0.10,,
2.41,0.11,,
0.81,0.0179,,
0.81,0.0191,,
0.81,0.0181,,
1.52,0.0508,,
1.52,0.0432,,
1.52,0.0488,,
1.52,0.0445,,
0.69,0.0097,,
0.35,0.00210,,
0.69,0.0119,,
0.69,0.0104,,
0.69,0.0094,,
0.69,0.0100,,
1.78,0.0824,,
1.78,0.0813,,
1.78,0.0813,,
0.89,0.0267,,
0.89,0.0225,,
0.89,0.0255,,
0.35,0.00174,,
0.84,0.0280,,
0.84,0.0332,,
0.84,0.0326,,
0.84,0.0300,,
0.51,0.0060,,
0.51,0.0077,,
0.51,0.0072,,
1.19,0.0481,,
1.19,0.0599,,
1.19,0.0509,,
0.35,0.00195,,
1.19,0.0509,,
1.42,0.0464,,
1.42,0.0440,,
1.42,0.0436,,
1.65,0.0528,,
1.65,0.0528,,
1.65,0.0498,,
1.32,0.0501,,
1.32,0.0513,,
1.32,0.0561,,
0.35,0.00192,,
0.56,0.0080,,
0.56,0.0081,,
0.56,0.0083,,
0.56,0.00275,,
0.56,0.00293,,
0.56,0.00315,,
0.56,0.00219,,
0.30,0.00228,,
0.30,0.00206,,
0.30,0.00194,,
0.35,0.00168,,
0.30,0.00228,,
0.46,0.0060,,
0.46,0.0061,,
0.46,0.0073,,
0.46,0.0070,,
0.46,0.0075,,
0.46,0.00442,,
0.46,0.00367,,
0.46,0.00459,,
0.46,0.00465,,
0.35,0.00140,,
0.41,0.0050,,
0.41,0.0050,,
0.41,0.00492,,
0.64,0.0128,,
0.64,0.0112,,
0.64,0.0128,,
0.64,0.0125,,
0.64,0.0117,,
1.27,0.0283,,
1.27,0.0300,,
1.20,0.0107,,
0.35,0.00168,,
1.27,0.0255,,
1.27,0.0309,,
2.92,0.29,,
2.92,0.29,,
2.92,0.27,,
2.92,0.30,,
0.94,0.0219,,
0.94,0.0208,,
0.94,0.0203,,
0.94,0.0174,,
0.35,0.00168,,
0.94,0.0203,,
0.36,0.00287,,
0.36,0.00328,,
0.36,0.00340,,
0.36,0.00291,,
0.64,0.0068,,
0.64,0.0079,,
0.64,0.0062,,
0.64,0.0072,,
0.64,0.0067,,
0.55,0.00440,,
0.18,0.00118,,
0.18,0.00235,,
0.18,0.00131,,
0.18,0.00112,,
0.18,0.00107,,
0.41,0.0072,,
0.41,0.0074,,
0.41,0.0074,,
0.64,0.00500,,
0.64,0.00492,,
0.55,0.00489,,
0.64,0.00434,,
0.64,0.00492,,
0.79,0.0146,,
0.79,0.0168,,
0.79,0.0155,,
0.56,0.0093,,
0.56,0.0079,,
0.56,0.0105,,
0.56,0.0102,,
0.56,0.0110,,
0.55,0.00440,,
0.56,0.0113,,
0.51,0.0068,,
0.51,0.0069,,
0.51,0.0069,,
0.64,0.0100,,
0.64,0.0128,,
0.64,0.0128,,
0.64,0.0120,,
0.38,0.00315,,
0.38,0.00347,,
0.55,0.00440,,
0.38,0.00358,,
0.38,0.00333,,
0.48,0.0057,,
0.48,0.0052,,
0.48,0.00467,,
0.48,0.0056,,
0.22,0.00084,,
0.22,0.00108,,
0.22,0.00104,,
0.22,0.00091,,
0.55,0.0051,,
0.22,0.00117,,
0.20,0.00068,,
0.20,0.00065,,
0.20,0.00071,,
0.20,0.00071,,
0.19,0.00026,,
0.19,0.00026,,
0.19,0.00027,,
0.86,0.0103,,
0.86,0.0105,,
0.35,0.00225,,
0.86,0.0096,,
0.86,0.0132,,
0.35,0.00225,,
0.35,0.00225,,
1.20,0.0117,,
0.35,0.00225,,
0.20,0.00037,,
0.20,0.00031,,
0.20,0.00031,,
0.20,0.00031,,
0.20,0.00031,,
0.15,0.00078,,
0.17,0.00026,,
0.15,0.00078,,
0.15,0.00059,,
0.15,0.00059,,
0.15,0.00078,,
0.25,0.00036,,
0.25,0.00041,,
0.25,0.00036,,
0.25,0.00036,,
0.25,0.00036,,
0.25,0.00036,,
0.17,0.00022,,
0.20,0.00048,,
0.20,0.00047,,
0.20,0.00051,,
0.20,0.00051,,
0.20,0.00049,,
0.35,0.00088,,
0.35,0.00072,,
0.35,0.00077,,
0.35,0.00091,,
0.35,0.00065,,
0.17,0.00031,,
0.35,0.00084,,
0.45,0.00291,,
0.45,0.00262,,
0.45,0.00262,,
0.45,0.00209,,
0.45,0.00174,,
0.45,0.00262,,
0.45,0.00174,,
0.45,0.00262,,
0.45,0.00174,,
0.17,0.00031,,
0.22,0.00347,,
0.22,0.00208,,
0.22,0.00260,,
0.22,0.00347,,
0.22,0.00260,,
0.22,0.00347,,
0.22,0.00260,,
0.30,0.00066,,
0.30,0.00075,,
0.30,0.00067,,
0.17,0.00036,,
0.30,0.00073,,
0.30,0.00070,,
0.30,0.00067,,
0.90,0.0108,,
0.90,0.0093,,
0.90,0.0108,,
0.90,0.0108,,
0.90,0.0130,,
0.90,0.0108,,
0.90,0.0108,,
11.89,25.91,,
23.16,32.76,,
7.77,5.78,,
22.71,47.06,,
44.20,391.06,,
5.9,4.5,,
51.72,103.00,,
17.07,4.60,,
140.44,296.48,,
214.61,1182.23,,
51.67,104.77,,
41.73,135.50,,
24.06,93.53,,
96.41,52.56,,
59.80,295.63,,
108.45,310.07,,
35.73,88.83,,
51.69,224.69,,
63.70,81.61,,
52.64,165.48,,
36.66,76.03,,
69.49,76.99,,
85.10,568.04,,
15.80,0.63,,
6.50,0.47,,
4.80,0.19,,
9.60,0.40,,
4.88,0.99,,
3.05,0.59,,
11.58,4.81,,
16.70,4.73,,
5.15,1.59,,
16.80,2.15,,
3.08,0.14,,
1.92,0.0419,,
2.87,0.0261,,
4.10,0.12,,
3.35,0.12,,
10.10,0.68,,
14.60,1.22,,
46.30,109.60,,
61.00,127.40,,
85.34,258.00,,
68.00,163.00,,
152.00,510.00,,
27.00,141.00,,
46.00,199.00,,
37.00,73.00,,
99.00,368.00,,
12.00,8.50,,
196.60,2265.35,,
594.00,11553.00,,
10.00,13.50,,
10.00,5.50,,
13.00,5.24,,
6.00,6.30,,
7.00,6.85,,
2.44,1.51,,
8.00,5.50,,
15.00,25.30,,
8.00,5.90,,
10.00,11.60,,
9.00,16.70,,
2.74,2.75,,
3.00,0.54,,
3.00,2.25,,
5.00,1.70,,
10.00,7.62,,
13.00,8.92,,
5.00,1.52,,
9.00,6.29,,
3.00,1.06,,
7.00,2.42,,
50.00,145.00,,
50.00,156.00,,
12.00,10.20,,
6.00,3.40,,
9.00,8.86,,
9.00,12.90,,
10.00,5.83,,
12.00,7.73,,
24.00,28.30,,
4.00,3.51,,
7.00,6.20,,
14.00,17.00,,
2.00,1.90,,
16.00,20.20,,
9.91,8.44,,
12.34,8.72,,
3.93,1.87,,
8.84,6.29,,
23.53,14.61,,
12.10,9.43,,
12.34,11.55,,
24.84,30.89,,
45.63,76.71,,
22.59,36.36,,
16.49,25.26,,
22.07,30.04,,
26.82,5.72,,
17.62,26.36,,
15.70,13.20,,
12.07,11.38,,
12.34,13.71,,
13.08,5.55,,
49.13,149.71,,
15.03,27.61,,
20.03,24.81,,
9.57,7.05,,
23.07,31.01,,
14.54,20.87,,
18.56,17.13,,
35.20,25.60,,
42.73,92.65,,
29.41,37.77,,
14.48,9.51,,
7.92,3.68,,
7.71,3.79,,
20.18,27.21,,
9.63,5.75,,
244.00,2270.00,,
38.40,39.13,,
39.62,77.02,,
21.03,18.07,,
436.00,1532.00,,
78.00,39.00,,
171.00,55.00,,
282.00,276.00,,
113.00,256.00,,
151.00,640.00,,
181.00,249.00,,
363.00,730.00,,
146.00,127.00,,
132.00,326.00,,
200.00,220.00,,
183.00,335.00,,
58.00,228.00,,
568.00,1374.00,,
56.00,235.00,,
504.00,1094.00,,
144.00,66.00,,
118.00,204.00,,
428.00,943.00,,
145.00,274.00,,
254.00,226.00,,
335.00,193.00,,
170.00,387.00,,
217.00,363.00,,
38.00,87.00,,
996.00,2846.00,,
119.00,408.00,,
370.00,713.00,,
345.00,2462.00,,
558.00,2819.00,,
559.00,2584.00,,
60.00,111.00,,
68.00,113.00,,
29.00,45.00,,
65.00,114.00,,
68.00,113.00,,
53.00,57.00,,
52.00,123.00,,
38.00,98.00,,
30.00,9.00,,
72.00,16.00,,
50.00,9.00,,
32.00,8.00,,
51.00,11.00,,
639.00,2197.00,,
40.00,18.00,,
73.00,9.00,,
647.00,2102.00,,
78.00,42.00,,
200.00,808.00,,
182.00,749.00,,
37.20,66.50,,
36.90,102.80,,
3.00,1.10,,
17.20,19.30,,
15.90,15.30,,
28.20,63.70,,
17.30,29.70,,
27.10,34.30,,
19.40,44.70,,
11.20,9.20,,
10.90,4.00,,
8.50,5.10,,
2.70,0.40,,
35.70,81.60,,
13.40,17.80,,
32.60,62.00,,
20.60,14.70,,
17.90,22.10,,
27.70,80.40,,
7.68,3.17,,
5.30,2.60,,
25.30,68.50,,
66.40,66.80,,
45.40,104.80,,
16.90,13.10,,
23.80,59.70,,
3.00,1.60,,
35.70,67.40,,
8.00,3.10,,
46.60,85.20,,
7.10,6.70,,
27.90,38.20,,
31.40,83.80,,
22.20,32.60,,
34.40,67.70,,
28.90,34.00,,
40.80,94.60,,
11.80,7.50,,
40.20,78.40,,
50.30,91.20,,
18.00,11.90,,
43.90,53.80,,
51.20,122.00,,
38.10,113.00,,
79.90,203.00,,
23.40,29.40,,
22.90,46.20,,
95.10,608.90,,
18.60,7.90,,
49.40,166.00,,
31.10,62.30,,
123.00,1020.00,,
59.40,187.00,,
35.10,52.40,,
280.00,5440.00,,
126.00,510.00,,
30.50,42.50,,
64.30,113.00,,
76.80,278.00,,
441.96,2605.15,,
38.71,396.44,,
59.44,107.32,,
46.33,130.26,,
737.62,16706.94,,
79.25,566.34,,
225.25,849.51,,
42.06,148.95,,
76.00,178.00,,
44.00,53.00,,
168.00,1075.00,,
77.00,277.00,,
49.00,165.00,,
85.00,933.00,,
30.00,42.00,,
31.00,65.00,,
18.00,11.00,,
24.00,20.00,,
80.00,203.00,,
41.00,141.00,,
59.00,186.00,,
111.00,1839.00,,
29.00,55.00,,
82.00,1416.00,,
134.00,1811.00,,
53.00,268.00,,
126.00,509.00,,
121.00,486.00,,
475.00,14998.00,,
479.00,7782.00,,
549.00,9004.00,,
31.00,62.00,,
123.00,1018.00,,
28.00,130.00,,
27.00,42.00,,
280.00,5433.00,,
119.00,489.00,,
51.00,121.00,,
35.00,100.00,,
50.00,203.00,,
38.00,113.00,,
15.00,20.35,,
20.50,49.00,,
11.13,3.40,,
59.10,167.00,,
10.80,7.80,,
24.00,39.70,,
77.30,446.00,,
61.60,214.00,,
84.00,453.00,,
36.30,118.00,,
85.20,326.00,,
89.20,652.00,,
53.00,86.40,,
34.20,70.80,,
11.30,5.10,,
6.40,2.50,,
24.70,24.10,,
3.00,1.10,,
10.00,4.80,,
10.00,3.80,,
5.00,3.50,,
5.06,4.81,,
3.14,1.36,,
7.10,1.41,,
9.54,3.10,,
2.35,0.55,,
7.89,3.28,,
2722.00,161330.00,,
385.00,3200.00,,
507.00,3700.00,,
621.00,6000.00,,
3400.00,60000.00,,
1042.00,21000.00,,
1028.00,20000.00,,
1770.00,64600.00,,
1320.00,17140.00,,
1490.00,27330.00,,
1330.00,20500.00,,
1043.00,90000.00,,
3201.00,120000.00,,
2140.00,70000.00,,
2160.00,60000.00,,
1150.00,12300.00,,
9.10,5.40,,
13.70,20.40,,
6.40,2.30,,
10.10,9.50,,
2.47,0.40,,
2.70,0.50,,
2.70,1.70,,
36.60,39.60,,
4.30,2.10,,
6.40,3.50,,
7.30,4.00,,
3.00,0.20,,
1.90,0.40,,
4.30,1.60,,
13.70,9.80,,
7.60,3.70,,
10.40,7.40,,
2.50,0.40,,
9.10,19.00,,
17.37,25.97,,
17.40,32.30,,
1.30,0.30,,
22.90,15.70,,
5.80,1.90,,
11.90,13.60,,
22.30,32.00,,
11.58,5.52,,
7.90,6.80,,
7.60,7.80,,
6.70,5.90,,
2.70,0.40,,
3.00,0.80,,
10.10,10.60,,
