Width (m),Discharge (m3/s),,
4.51,1.47,,
5.20,,,
96.00,300.20,,
4.72,1.81,,
12.10,20.10,,
12.10,5.00,,
12.80,,,
75.59,291.66,,
10.80,11.00,,
11.37,14.16,,
5.79,2.78,,
14.40,,,
9.40,9.10,,
13.99,3.94,,
63.80,410.60,,
13.93,17.84,,
17.90,,,
30.02,59.18,,
16.73,26.05,,
29.70,45.60,,
9.60,9.40,,
27.22,59.47,,
10.80,,,
10.52,16.71,,
8.90,7.08,,
10.20,,,
6.30,7.90,,
17.20,25.80,,
7.60,5.40,,
19.30,35.40,,
38.50,82.70,,
15.91,19.51,,
12.80,21.95,,
6.55,1.53,,
19.17,15.35,,
11.19,7.93,,
5.79,2.78,,
13.99,3.94,,
4.57,1.02,,
4.39,1.87,,
7.74,3.40,,
8.90,7.08,,
43.43,70.51,,
37.00,54.65,,
152.40,3157.63,,
114.30,3368.49,,
142.90,1913.59,,
152.40,1902.22,,
161.90,2178.99,,
133.40,1535.98,,
181.00,2608.97,,
171.50,2472.03,,
76.20,1851.44,,
114.30,3451.26,,
76.20,2603.78,,
104.80,2998.19,,
95.30,3792.30,,
114.30,2896.84,,
114.30,3677.94,,
171.50,5411.80,,
152.40,4688.80,,
152.40,1689.57,,
228.60,7646.22,,
133.40,3719.66,,
171.50,3533.11,,
161.90,2980.24,,
104.80,1608.86,,
133.40,1929.47,,
133.40,1867.70,,
114.30,1403.65,,
133.40,1958.53,,
142.90,2065.51,,
95.30,919.35,,
95.30,1402.41,,
104.80,1584.80,,
95.30,1565.16,,
114.30,1948.91,,
114.30,2171.92,,
142.90,3521.00,,
114.30,1802.95,,
161.90,2833.89,,
114.30,1296.20,,
104.80,1380.81,,
76.20,825.12,,
133.40,1194.00,,
104.80,1249.87,,
133.40,1627.99,,
142.90,2061.87,,
171.50,2639.01,,
181.00,2434.63,,
133.40,1706.65,,
85.70,706.57,,
114.30,1428.33,,
133.40,1545.07,,
76.20,1577.02,,
133.40,2263.05,,
95.30,1661.12,,
123.80,1986.00,,
142.90,1996.99,,
133.40,1432.59,,
133.40,1580.88,,
133.40,1580.88,,
123.80,1541.87,,
123.80,1817.07,,
142.90,2246.47,,
114.30,2700.87,,
123.80,1759.79,,
133.40,2322.92,,
123.80,1584.45,,
133.40,2475.66,,
95.30,1226.64,,
85.70,1144.64,,
114.30,1743.78,,
114.30,1500.92,,
85.70,1326.38,,
85.70,1000.01,,
104.80,2338.14,,
95.30,944.60,,
95.30,1122.56,,
114.30,1182.24,,
85.70,1388.70,,
95.30,1456.04,,
114.30,1548.48,,
95.30,1454.17,,
85.70,916.98,,
85.70,1256.32,,
133.40,1567.21,,
142.90,4828.51,,
95.30,1482.45,,
95.30,1265.94,,
85.70,1159.54,,
95.30,991.22,,
85.70,1096.37,,
95.30,994.71,,
85.70,1076.29,,
76.20,795.81,,
76.20,967.29,,
66.70,670.32,,
152.40,3063.24,,
66.70,894.08,,
66.70,764.11,,
66.70,787.81,,
66.70,834.72,,
66.70,792.59,,
76.20,896.94,,
76.20,918.03,,
85.70,1320.54,,
85.70,1221.05,,
133.40,2206.89,,
64.90,425.00,,
67.60,279.30,,
39.40,145.90,,
58.30,197.20,,
109.10,1324.20,,
121.50,1451.50,,
126.10,1308.80,,
28.10,117.60,,
21.70,92.60,,
61.00,816.50,,
210.50,615.10,,
78.70,750.40,,
125.60,383.60,,
128.50,415.30,,
101.20,555.40,,
49.50,246.70,,
58.60,307.10,,
43.30,114.60,,
44.40,179.30,,
65.40,287.90,,
71.50,302.70,,
98.60,362.10,,
61.10,281.90,,
78.30,482.60,,
82.70,510.50,,
43.20,200.70,,
39.20,44.60,,
16.30,37.70,,
71.70,220.10,,
56.70,135.40,,
87.00,444.60,,
119.40,559.80,,
44.20,75.40,,
148.60,657.30,,
107.40,591.30,,
105.20,690.50,,
218.00,1351.50,,
225.00,1367.80,,
35.20,172.70,,
54.30,181.40,,
37.50,165.70,,
145.60,1199.30,,
19.80,18.00,,
58.40,98.20,,
35.10,69.10,,
42.60,173.90,,
80.50,489.40,,
188.60,1306.60,,
178.00,957.90,,
204.20,1019.00,,
121.80,267.40,,
55.10,130.70,,
142.90,463.60,,
87.20,313.00,,
171.40,1030.40,,
123.90,561.60,,
29.30,63.00,,
83.00,145.55,,
57.00,125.00,,
1600.00,16000.00,,
14.30,4.70,,
14.45,6.82,,
27.80,1.82,,
3.54,0.81,,
7.89,1.67,,
13.32,2.76,,
14.26,10.51,,
18.29,13.30,,
12.80,4.93,,
27.22,20.90,,
23.16,9.63,,
6.04,1.19,,
23.00,90.00,,
15.80,23.60,,
12.80,14.30,,
7.40,6.20,,
4.50,3.10,,
14.40,11.60,,
8.70,6.20,,
5.20,3.50,,
9.10,9.70,,
10.80,12.80,,
21.20,23.70,,
200.00,290.00,,
40.00,210.00,,
1975.00,28000.00,,
600.00,1240.00,,
140.00,1200.00,,
21.52,48.87,,
8.56,5.28,,
23.59,20.78,,
19.05,18.72,,
20.91,37.15,,
23.59,24.17,,
42.06,140.45,,
56.50,539.70,,
22.95,48.14,,
58.17,106.75,,
68.40,20.50,,
25.40,0.85,,
10.10,0.28,,
10.30,1.22,,
14.70,0.31,,
8.03,1.39,,
34.30,6.69,,
24.80,1.95,,
3.94,0.46,,
0.97,0.0210,,
7.09,1.12,,
9.39,0.36,,
3.90,0.19,,
3.16,0.66,,
22.00,1.58,,
10.90,1.82,,
11.20,1.08,,
48.00,6.77,,
6.07,0.16,,
1.91,0.55,,
32.00,40.00,,
120.00,665.00,,
17.10,12.00,,
58.00,226.00,,
32.00,187.00,,
29.00,45.30,,
31.00,23.80,,
69.00,668.00,,
13.00,24.50,,
27.00,10.50,,
18.60,24.90,,
99.10,580.60,,
16.00,73.60,,
15.00,12.60,,
3.00,3.00,,
17.00,5.50,,
8.20,13.20,,
39.60,70.80,,
42.10,91.80,,
4.00,1.70,,
4.00,6.20,,
3.00,4.50,,
7.00,5.00,,
7.00,7.50,,
10.00,5.70,,
34.10,11.30,,
16.50,22.20,,
13.00,17.60,,
33.00,69.40,,
29.00,79.30,,
25.00,8.20,,
23.50,27.50,,
,109.30,,
47.00,368.00,,
32.00,116.00,,
13.70,12.20,,
13.00,10.90,,
17.00,24.00,,
20.00,40.00,,
18.00,45.00,,
27.00,66.00,,
23.00,68.00,,
,,,
,,,
,,,
,,,
,,,
,,,
